"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"blackwood tree",112459399,,"noun.plant",20,"n","blackwood tree#1(blackwood_tree%1:20:00::),blackwood#2(blackwood%1:20:00::)","any of several hardwood trees yielding very dark-colored wood","","blackwood tree,blackwood",1,16,"substance meronym",112459606,"noun.plant",20,"n","blackwood#1(blackwood%1:20:02::)","very dark wood of any of several blackwood trees","","blackwood"
"table mustard",107750103,,"noun.food",13,"n","table mustard#1(table_mustard%1:13:00::),mustard#2(mustard%1:13:00::)","pungent powder or paste prepared from ground mustard seeds","","table mustard,mustard",1,16,"substance meronym",107749926,"noun.food",13,"n","mustard seed#1(mustard_seed%1:13:00::)","black or white seeds ground to make mustard pastes or powders","","mustard seed"
"yellowwood",111585715,,"noun.plant",20,"n","yellowwood tree#1(yellowwood_tree%1:20:00::),yellowwood#2(yellowwood%1:20:00::)","any of various trees having yellowish wood or yielding a yellow extract","","yellowwood tree,yellowwood",2,16,"substance meronym",111586290,"noun.plant",20,"n","yellowwood#1(yellowwood%1:20:02::)","the yellow wood of any of various yellowwood trees","","yellowwood"
"english walnut",107702162,,"noun.food",13,"n","English walnut#2(english_walnut%1:13:00::)","nut with a wrinkled two-lobed seed and hard but relatively thin shell; widely used in cooking","","English walnut",2,16,"substance meronym",107605927,"noun.food",13,"n","walnut oil#1(walnut_oil%1:13:00::)","oil from walnuts","","walnut oil"
"alloy",114525859,,"noun.substance",27,"n","alloy#1(alloy%1:27:00::),metal#2(metal%1:27:01::)","a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten","brass is an alloy of zinc and copper","alloy,metal",1,16,"substance meronym",114977614,"noun.substance",27,"n","solid solution#1(solid_solution%1:27:00::),primary solid solution#1(primary_solid_solution%1:27:00::)","a homogeneous solid that can exist over a range of component chemicals; a constituent of alloys that is formed when atoms of an element are incorporated into the crystals of a metal","","solid solution,primary solid solution"
"blackwash",102842971,,"noun.artifact",6,"n","black lotion#1(black_lotion%1:06:00::),blackwash#2(blackwash%1:06:01::)","a mixture of calomel and limewater that is used on syphilitic sores","","black lotion,blackwash",2,16,"substance meronym",114864795,"noun.substance",27,"n","limewater#1(limewater%1:27:00::)","solution of calcium hydroxide in water used as an antacid","","limewater"
"fluorapatite",114611841,,"noun.substance",27,"n","fluorapatite#1(fluorapatite%1:27:00::)","a form of apatite in which fluorine predominates over chlorine","","fluorapatite",1,16,"substance meronym",114574168,"noun.substance",27,"n","atomic number 9#1(atomic_number_9%1:27:00::),fluorine#1(fluorine%1:27:00::),F#2(f%1:27:00::)","a nonmetallic univalent element belonging to the halogens; usually a yellow irritating toxic flammable gas; a powerful oxidizing agent; recovered from fluorite or cryolite or fluorapatite","","atomic number 9,fluorine,F"
"true fir",111555830,,"noun.plant",20,"n","fir tree#1(fir_tree%1:20:00::),true fir#1(true_fir%1:20:00::),fir#2(fir%1:20:00::)","any of various evergreen trees of the genus Abies; chiefly of upland areas","","fir tree,true fir,fir",1,16,"substance meronym",111556069,"noun.plant",20,"n","fir#1(fir%1:20:02::)","nonresinous wood of a fir tree","","fir"
"fir tree",111555830,,"noun.plant",20,"n","fir tree#1(fir_tree%1:20:00::),true fir#1(true_fir%1:20:00::),fir#2(fir%1:20:00::)","any of various evergreen trees of the genus Abies; chiefly of upland areas","","fir tree,true fir,fir",1,16,"substance meronym",111556069,"noun.plant",20,"n","fir#1(fir%1:20:02::)","nonresinous wood of a fir tree","","fir"
"tapioca plant",112862169,,"noun.plant",20,"n","bitter cassava#1(bitter_cassava%1:20:00::),gari#1(gari%1:20:00::),mandioc#1(mandioc%1:20:00::),tapioca plant#1(tapioca_plant%1:20:00::),Manihot esculenta#1(manihot_esculenta%1:20:00::),Manihot utilissima#1(manihot_utilissima%1:20:00::),mandioca#1(mandioca%1:20:00::),manioc#3(manioc%1:20:00::)","cassava with long tuberous edible roots and soft brittle stems; used especially to make cassiri (an intoxicating drink) and tapioca","","bitter cassava,gari,mandioc,tapioca plant,Manihot esculenta,Manihot utilissima,mandioca,manioc",1,16,"substance meronym",107863218,"noun.food",13,"n","cassiri#1(cassiri%1:13:00::)","a drink resembling beer; made from fermented cassava juice","","cassiri"
"manioc",112862169,,"noun.plant",20,"n","bitter cassava#1(bitter_cassava%1:20:00::),gari#1(gari%1:20:00::),mandioc#1(mandioc%1:20:00::),tapioca plant#1(tapioca_plant%1:20:00::),Manihot esculenta#1(manihot_esculenta%1:20:00::),Manihot utilissima#1(manihot_utilissima%1:20:00::),mandioca#1(mandioca%1:20:00::),manioc#3(manioc%1:20:00::)","cassava with long tuberous edible roots and soft brittle stems; used especially to make cassiri (an intoxicating drink) and tapioca","","bitter cassava,gari,mandioc,tapioca plant,Manihot esculenta,Manihot utilissima,mandioca,manioc",3,16,"substance meronym",107863218,"noun.food",13,"n","cassiri#1(cassiri%1:13:00::)","a drink resembling beer; made from fermented cassava juice","","cassiri"
"mandioca",112862169,,"noun.plant",20,"n","bitter cassava#1(bitter_cassava%1:20:00::),gari#1(gari%1:20:00::),mandioc#1(mandioc%1:20:00::),tapioca plant#1(tapioca_plant%1:20:00::),Manihot esculenta#1(manihot_esculenta%1:20:00::),Manihot utilissima#1(manihot_utilissima%1:20:00::),mandioca#1(mandioca%1:20:00::),manioc#3(manioc%1:20:00::)","cassava with long tuberous edible roots and soft brittle stems; used especially to make cassiri (an intoxicating drink) and tapioca","","bitter cassava,gari,mandioc,tapioca plant,Manihot esculenta,Manihot utilissima,mandioca,manioc",1,16,"substance meronym",107863218,"noun.food",13,"n","cassiri#1(cassiri%1:13:00::)","a drink resembling beer; made from fermented cassava juice","","cassiri"
