"LEMMA","POS","POLYSEMY_CNT"
"wanting","s",2
"rescue","v",2
"remorseless","s",1
"vicissitude","n",2
"clean house","v",1
"sapindus saponaria","n",1
"instruction execution","n",1
"coaxer","n",1
"highest common factor","n",1
"olfactory bulb","n",1
"hydrocele","n",1
"khmer rouge","n",1
"propyl alcohol","n",1
"subconscious","n",1
"candle","n",2
"calico cat","n",1
"by-election","n",1
"battle of valmy","n",1
"covered wagon","n",1
"phalaris canariensis","n",1
"placement center","n",1
"transmission density","n",1
"charles lamb","n",1
"rubble","n",1
"strawberry tree","n",1
"lobectomy","n",1
"bureau of customs","n",1
"watercress","n",2
"soup-strainer","n",1
"genus colobus","n",1
"caddy","v",1
"lion marmoset","n",1
"emda","n",1
"greenskeeper","n",1
"genus vicia","n",1
"squash bug","n",1
"pleader","n",1
"relent","v",1
"savings and loan association","n",1
"pimple","n",1
"stative","a",1
"toilet paper","n",1
"john endicott","n",1
"messina","n",1
"facial","a",2
"holistic","a",1
"unauthorized","s",1
"pilus","n",2
"enliven","v",2
"upright","a",1
"decorate","v",4
"bloodletting","n",2
"uncivil","a",1
"et alia","r",1
"backwards","r",2
"resoluteness","n",1
"oceanic","s",2
"dehydrated food","n",1
"public debt","n",1
"mari","n",2
"equestrian","n",1
"palaeoecology","n",1
"cone-nosed bug","n",1
"slovakia","n",1
"caspian","n",1
"cuttle","n",1
"rarefy","v",3
"genus salsola","n",1
"family loasaceae","n",1
"second epistle of paul the apostle to the thessalonians","n",1
"family characeae","n",1
"trisodium phosphate","n",1
"egger","n",1
"application form","n",1
"cuban revolution","n",1
"country of origin","n",1
"pepper mill","n",1
"asplenium pinnatifidum","n",1
"geophytic","a",1
"ginseng","n",2
"creepiness","n",1
"pig farm","n",1
"nord-pas-de-calais","n",1
"danceable","s",1
"stevenson","n",2
"constrictive","s",2
"amino resin","n",1
"odorous","s",2
"touchy","s",2
"bring back","v",2
"et alii","r",1
"raring","s",1
"materialization","n",3
"bolster","v",3
"railroad bed","n",1
"limb-girdle muscular dystrophy","n",1
"abruptly-pinnate leaf","n",1
"mandaeanism","n",1
"proportionate","s",2
"tentacled","a",1
"dutch guiana","n",1
"family hippoboscidae","n",1
"nationalism","n",4
"protoplasmic astrocyte","n",1
"ringleted","s",1
"loins","n",2
"uncombined","a",1
"who","n",1
"debaucher","n",1
"loranthaceae","n",1
"wet bar","n",1
"family tipulidae","n",1
"truss","n",3
"consumable","s",1
"factory price","n",1
"genus aedes","n",1
"metacenter","n",1
"kept up","s",1
"starting point","n",1
"safe","n",3
"electronic deception","n",1
"discolouration","n",2
"flambe","v",1
"aura","n",3
"georges enesco","n",1
"tartarus","n",1
"renoir","n",1
"osage","n",3
"partial denture","n",1
"indian rat snake","n",1
"port arthur","n",2
"acer pseudoplatanus","n",1
"celesta","n",1
"cinnamon colored","s",1
"framing","n",2
"comprehension","n",2
"ablative","s",1
"dim","a",1
"continuing trespass","n",1
"exemplary","s",3
"nipponese","a",1
"catch out","v",1
"semi-prostrate","s",1
"complex","s",1
"wonder","v",3
"up to his neck","s",1
"toneless","a",1
"horned toad","n",1
"synchroflash","n",1
"walesa","n",1
"urogenital medicine","n",1
"nomia melanderi","n",1
"spreading bellflower","n",1
