"LEMMA","POS","POLYSEMY_CNT"
"alumna","n",1
"auction sale","n",1
"pomologist","n",1
"paleontological","a",1
"ambiversive","a",1
"vali","n",1
"family rhizophoraceae","n",1
"deftness","n",1
"recorded","a",1
"cloture","v",1
"helm","v",1
"elsewhere","r",1
"slyly","r",1
"genus dasyurus","n",1
"newburgh","n",1
"accommodation ladder","n",1
"television newscaster","n",1
"hypothermia","n",1
"double talk","n",1
"fourscore","s",1
"follicular","a",1
"drinking age","n",1
"yellowfin","n",1
"purplish-green","s",1
"joseph paxton","n",1
"cleavage cavity","n",1
"homing device","n",1
"cloud chamber","n",1
"copernican system","n",1
"interferometer","n",1
"black carpet beetle","n",1
"nicol prism","n",1
"habited","s",1
"similarly","r",1
"prosper","v",1
"unorganized","s",1
"leaved","s",1
"electrostatic","a",1
"oleaceous","a",1
"second adventism","n",1
"leathery turtle","n",1
"ski cap","n",1
"john burgoyne","n",1
"minuscular","a",1
"cattle egret","n",1
"handshaking","n",1
"works program","n",1
"neruda","n",1
"marshal saxe","n",1
"tropidoclonion lineatum","n",1
"blue goose","n",1
"book of ezra","n",1
"leopold kronecker","n",1
"stylostixis","n",1
"raspberry bush","n",1
"rudolf bultmann","n",1
"hybrid","s",1
"raw material","n",1
"carbonisation","n",1
"spiritize","v",1
"catalonia","n",1
"makaira mazara","n",1
"red cross","n",1
"markhoor","n",1
"genus silybum","n",1
"love grass","n",1
"phrenic nerve","n",1
"offsides","a",1
"pet name","n",1
"encircled","s",1
"imitation","s",1
"indecorous","s",1
"distractedly","r",1
"greenside","a",1
"william dean howells","n",1
"capital of massachusetts","n",1
"encomiastic","s",1
"tinea cruris","n",1
"planet wheel","n",1
"water chevrotain","n",1
"mccauley","n",1
"tetterwort","n",1
"freedom from cruel and unusual punishment","n",1
"agelaius","n",1
"propellant explosive","n",1
"swiss roll","n",1
"mesomorphy","n",1
"footing","n",3
"gu","n",1
"house party","n",1
"endaemonism","n",1
"general ledger","n",1
"coffea","n",1
"genus cetorhinus","n",1
"purplish red","n",1
"bela lugosi","n",1
"united states coast guard","n",1
"ahorseback","r",1
"month by month","r",1
"amniote","n",1
"law of closure","n",1
"ceratopsia","n",1
"spenserian sonnet","n",1
"barbecued spareribs","n",1
"camass","n",1
"snow bunting","n",1
"rhodes scholar","n",1
"night school","n",1
"ipsedixitism","n",1
"gayness","n",1
"signaller","n",1
"starch wheat","n",1
"allium carinatum","n",1
"conchology","n",1
"petty spurge","n",1
"lichenes","n",1
"populus tremuloides","n",1
"schizophrenic","a",1
"gaius flaminius","n",1
"small boat","n",1
"orleanist","n",1
"rarely","r",1
"allegorically","r",1
"genus malacosoma","n",1
"pole position","n",1
"dissident irish republican army","n",1
"roman mythology","n",1
"thunder snake","n",1
"cryptorchism","n",1
"tachistoscope","n",1
"good health","n",1
"diving board","n",1
"cutaneous vein","n",1
"gottlieb daimler","n",1
"pseudococcidae","n",1
"time of life","n",1
"hogweed","n",1
"drug trafficking","n",1
"homeostatic","a",1
"jackrabbit","v",1
"hatefulness","n",1
"zea saccharata","n",1
"african marigold","n",1
"milan","n",1
"arachis","n",1
"folk dancer","n",1
"battle royal","n",1
"trammel net","n",1
"canister shot","n",1
"genus megatherium","n",1
"leonard","n",1
"cleridae","n",1
"dill pickle","n",1
"purple saxifrage","n",1
"ejector seat","n",1
"safekeeping","n",1
"containerize","v",1
"preconcerted","s",1
"understaffed","s",1
"cadency","n",1
"doctrinaire","s",1
"transmission system","n",1
"common fraction","n",1
"baseball score","n",1
"frontal sinus","n",1
"hemoglobinopathy","n",1
"pius vi","n",1
"atomic number 79","n",1
"machine readable dictionary","n",1
"unuseable","s",1
"degree of a term","n",1
"serosa","n",1
"bridecake","n",1
"common ground","n",1
"mountain rimu","n",1
"triplochiton","n",1
"vena cystica","n",1
"kumquat tree","n",1
"backstitch","v",1
"meleagrididae","n",1
"quinquagesima sunday","n",1
"familial hypercholesterolemia","n",1
"polar zone","n",1
"african millet","n",1
"tauon","n",1
"silver-gray","s",1
"lillian hellman","n",1
"truthfulness","n",1
"cape hunting dog","n",1
"luggage compartment","n",1
"illimitable","s",1
"sovietize","v",2
"neuronic","a",1
"unwelcome","s",1
"overage","s",1
"contradictorily","r",1
"split second","n",1
"mortgager","n",1
"unknowing","s",1
"eardrop","n",1
"rodlike","s",1
"silvery wormwood","n",1
"botonee","s",1
"manson","n",1
"viral hemorrhagic fever","n",1
"papacy","n",1
"simper","v",1
"relational adjective","n",1
"angiospermous yellowwood","n",1
"windhoek","n",1
"rodney george laver","n",1
"gluck","n",1
"uniate","n",1
"picador","n",1
"agave tequilana","n",1
"gun muzzle","n",1
"wernicke's aphasia","n",1
"chow dynasty","n",1
"after","s",1
"family picidae","n",1
"lithotomy","n",1
"rapidness","n",1
"incapable","s",2
"uniformed","s",1
"incompressible","a",1
"hit the sack","v",1
"deep-mined","s",1
"rerun","n",1
"chauvinistic","s",1
"imposture","n",1
"mountebank","n",1
"arno","n",1
"formalization","n",1
"nosiness","n",1
"euclidean axiom","n",1
"giovanni battista cibo","n",1
"civic responsibility","n",1
"argumentatively","r",1
"andropogon","n",1
"conocarpus erectus","n",1
"calycanthus family","n",1
"oneirism","n",1
"dissected","s",1
"ko","n",1
"165th","s",1
"inelaborate","s",1
"disincarnate","v",1
"gross profit margin","n",1
"great dog","n",1
"pillory","n",1
"michel de notredame","n",1
"common arrowhead","n",1
"verrucose","s",1
"icicle plant","n",1
"bell-shaped curve","n",1
"campaign hat","n",1
"sigmoidoscope","n",1
"warping","n",1
"creative thinking","n",1
"draughts","n",1
"untwisted","s",1
"holy","n",1
"clandestine","s",1
"moral certainty","n",1
"epigrammatic","s",1
"tush","n",1
"unmatchable","s",1
"inextricably","r",1
"atomic number 73","n",1
"fraternization","n",1
"genus bombina","n",1
"garotte","n",1
"mantiger","n",1
"fingerprint expert","n",1
"peter medawar","n",1
"cloyingly","r",1
"12-tone system","n",1
"theropod dinosaur","n",1
"european bird cherry","n",1
"battle of the philippine sea","n",1
"true marmoset","n",1
"gnome","n",2
"hypercalcemia","n",1
"mt. everest","n",1
"photographic density","n",1
"apple jelly","n",1
"handrest","n",1
"skinned","a",1
"hepaticae","n",1
"temple of artemis","n",1
"amerind","n",1
"prunus incisa","n",1
"lotto","n",1
"running postman","n",1
"third eyelid","n",1
"cynocephalus variegatus","n",1
"pershing","n",1
"genus uca","n",1
"divarication","n",1
"shell-less","a",1
"cumuliform","s",1
"adsuki bean","n",1
"bonelet","n",1
"backroom","n",1
"bulgur pilaf","n",1
"spiller","n",2
"inter","v",1
"stride","n",3
"co-opt","v",4
"rigid","s",4
"interminable","s",1
"contorted","s",1
"story","n",6
"usual","s",1
"lots","r",1
"trimly","r",1
"easement","n",2
"stamp","n",9
"liquid","s",5
"hiplength","a",1
"coonhound","n",1
"purist","n",1
"outpatient","n",1
"pickle","v",1
"alectis","n",1
"olive family","n",1
"dactylis","n",1
"genus pecari","n",1
"seriphus politus","n",1
"folderol","n",1
"rendezvous","n",3
"anadiplosis","n",1
"eutherian","n",1
"graduate","n",2
"shouter","n",1
"ricebird","n",2
"nature worship","n",1
"eburnation","n",1
"angora goat","n",1
"heartleaf","n",2
"st. lawrence river","n",1
"rose-colored","s",2
"rave","v",3
"loop knot","n",1
"philippine monetary unit","n",1
"eradicator","n",1
"flowchart","n",1
"genus pithecolobium","n",1
"clitocybe subconnexa","n",1
"majuscule","a",1
"snitch","n",1
"tender","n",6
"arundo conspicua","n",1
"matrix addition","n",1
"diversity","n",2
"capped","s",2
"meridian","n",3
"apodous","s",1
"sullen","s",2
"green card","n",1
"line of defense","n",2
"misremember","v",1
"wrong","s",6
"recurring","s",1
"answer","v",10
"underbelly","n",3
"form","n",16
"onion","n",3
"isotonic","a",3
"psychogenesis","n",2
"subclinical absence","n",1
"middy","n",1
"teleostan","n",1
"welty","n",1
"genus cliftonia","n",1
"coffeehouse","n",1
"arthropodan","a",1
"makeup","n",3
"unorthodoxy","n",3
"antheridium","n",1
"orach","n",1
"cottontail rabbit","n",1
"ischigualastia","n",1
"planing machine","n",1
"ranunculales","n",1
"crossover voter","n",1
"change integrity","v",1
"lineage","n",5
"bell magpie","n",1
"white arsenic","n",1
"calf","n",4
"patroller","n",1
"catasetum macrocarpum","n",1
"knut","n",1
"rossetti","n",1
"doom","v",3
"sleep over","v",1
"terpsichorean","a",1
"movement","n",11
"paired","s",2
"procedure","n",4
"wellspring","n",2
"afforest","v",1
"affectionateness","n",2
"incite","v",3
"macabre","s",1
"unchallengeable","s",1
"despotic","s",2
"faisal ibn abdel aziz al-saud","n",1
"villa-lobos","n",1
"park ave.","n",1
"garlic chive","n",2
"effortful","a",1
"satisfying","s",2
"laputa","n",1
"dryopteris phegopteris","n",1
"thyrotropin-releasing factor","n",1
"nick","n",3
"shaft of light","n",1
"neuropterous insect","n",1
"croup","n",2
"comb-like","a",1
"genus sardinia","n",1
"pall","n",3
"yellowish green","n",1
"atopic dermatitis","n",1
"landgrave","n",1
"rear back","v",2
"psycho","n",1
"injury","n",5
"arrival","n",3
"yevtushenko","n",1
"nomograph","n",1
"christmas cactus","n",1
"greenstick fracture","n",1
"united nations secretariat","n",1
"stringer","n",4
"small-capitalisation","a",1
"capital of kuwait","n",1
"aqua vitae","n",1
"poteen","n",1
"chevalier","n",2
"mealworm","n",1
"psychic trauma","n",1
"countryfolk","n",2
"obstetrical delivery","n",1
"northern bog lemming","n",1
"pall-mall","n",1
"woolly aphid","n",1
"gnarl","v",2
"hammer","v",2
"behavior","n",4
"plaster","v",6
"prepositional","a",1
"leadership","n",4
"dog","n",7
"taste","v",6
"unestablished","a",1
"reconciliation","n",2
"try","v",9
"ophthalmic","a",2
"music school","n",2
"asa yoelson","n",1
"ash","v",1
"canavalia","n",1
"last judgement","n",1
"caranx bartholomaei","n",1
"cotonou","n",1
"solidity","n",3
"genus agrobacterium","n",1
"cycnoches","n",1
"twinberry","n",2
"petitio","n",1
"opium poppy","n",1
"fratercula","n",1
"arsenide","n",1
"imprecation","n",2
"sara teasdale","n",1
"ogden nash","n",1
"seabag","n",1
"plexus myentericus","n",1
"exculpation","n",2
"maple","n",2
"leptocephalus","n",1
"sir john hawkyns","n",1
"somatotype","n",1
"pretension","n",3
"lateral","s",2
"whirl","n",4
"out-of-the-way","s",4
"sensational","s",1
"overshadow","v",3
"tank","v",3
"bony","a",2
"psychoanalysis","n",1
"curdle","v",3
"cultivated","a",1
"tepid","s",2
"untouched","a",2
"honourable","a",1
"attention span","n",1
"barnburner","n",2
"peephole","n",1
"cambrian","n",2
"epiphysis","n",2
"bowdlerisation","n",2
"mackerel shark","n",1
"roller","n",7
"class magnoliopsida","n",1
"commonwealth","n",4
"ligustrum amurense","n",1
"marihuana","n",2
"ereshkigal","n",1
"weald","n",1
"unalarming","a",1
"verd antique","n",1
"lifeline","n",4
"ore.","n",1
"impaction","n",4
"proteles","n",1
"bosnia and herzegovina","n",1
"polyandrist","n",1
"indo-iranian","n",1
"california white fir","n",1
"segregation","n",3
"loosen up","v",5
"autotroph","n",1
"genus tomistoma","n",1
"blind gentian","n",2
"underclothed","s",1
"badlands","n",2
"combustion","n",3
"pressure","n",7
"ahorse","s",1
"endocrinal","a",1
"break seal","n",1
"major","a",7
"stow away","v",1
"overcharge","v",2
"prismatic","a",1
"rot","v",2
"summarise","v",2
"government agency","n",1
"sane","s",1
"water nymph","n",4
"obstinance","n",2
"housing industry","n",1
"langouste","n",2
"avariciousness","n",1
"obtrusiveness","n",1
"etropus","n",1
"wring from","v",1
"colour-blind","s",2
"bonehead","n",1
"sandfish","n",2
"genus balsamorhiza","n",1
"leresis","n",1
"eva braun","n",1
"infer","v",5
"vat dye","n",1
"futon","n",1
"mahican","n",2
"san diego","n",1
"musculospiral nerve","n",1
"luscinia","n",1
"flow rate","n",1
"oystercatcher","n",1
"slender-tailed meerkat","n",1
"dkm","n",1
"gluteal muscle","n",1
"intermezzo","n",3
"baritone horn","n",1
"cyberpunk","n",3
"river red gum","n",1
"odyssey","n",2
"pms","n",1
"sciuridae","n",1
"acipenser huso","n",1
"unusual","a",2
"divers","s",1
"tepidly","r",1
"perfume","v",2
"phenomenal","a",1
"glass cutter","n",3
"nautical mile","n",2
"net melon","n",2
"fox talbot","n",1
"endameba","n",1
"plume thistle","n",1
"priestley","n",1
"gloucester","n",2
"saprophytic","a",1
"estates general","n",1
"exercise device","n",1
"platichthys","n",1
"scolopax rusticola","n",1
"palmae","n",1
"jujube","n",3
"friedrich august von hayek","n",1
"run bases","v",1
"boldness","n",3
"red silk-cotton tree","n",1
"peck","v",5
"transgene","n",1
"yearly","n",1
"patent of invention","n",1
"pan troglodytes schweinfurthii","n",1
"flare","n",11
"multinational","s",1
"idiopathic","a",1
"fatigued","s",1
"sex activity","n",1
"breeze","n",2
"attributive genitive","s",1
"mechanism","n",5
"hypothesize","v",1
"classified","a",2
"sun-dried","s",1
"carthamus tinctorius","n",1
"lemniscus","n",1
"superficiality","n",2
"prunus angustifolia","n",1
"genus hypochaeris","n",1
"industrial park","n",1
"hunger","n",2
"atomization","n",2
"genus laburnum","n",1
"snips","n",1
"laager","n",1
"snowmobile","v",1
"mucocutaneous lymph node syndrome","n",1
"cottontail","n",1
"dry season","n",1
"extralinguistic","a",1
"cancroid","a",1
"antiprotozoal","n",1
"upper-normandy","n",1
"rounder","n",2
"impeachment","n",1
"laryngectomy","n",1
"bud","n",2
"overlayer","n",1
"stagger head","n",1
"processus coronoideus","n",1
"upjohn","n",1
"arrowroot","n",3
"bowl","n",9
"translation","n",7
"contemporise","v",2
"tight fitting","s",1
"vituperate","v",1
"squeeze out","v",6
"corrective","s",2
"lithic","a",2
"fabian","s",1
"pulverized","s",1
"checkout time","n",1
"flabby","s",1
"styleless","a",1
"one-sided","s",1
"whirr","n",1
"limbed","a",1
"variable star","n",1
"millisecond","n",1
"petromyzon marinus","n",1
"kesey","n",1
"metric linear unit","n",1
"wild medlar","n",1
"hydrocharitaceae","n",1
"rate of inflation","n",1
"flemish-speaking","s",1
"penalty","n",4
"pontiff","n",1
"vanilla planifolia","n",1
"arctonyx","n",1
"sea dog","n",1
"forint","n",1
"gosainthan","n",1
"unconnected","a",1
"family juncaginaceae","n",1
"convex polyhedron","n",1
"family ogcocephalidae","n",1
"flexure","n",3
"eudromias morinellus","n",1
"djakarta","n",1
"nonreader","n",2
"genus freesia","n",1
"dodger","n",2
"deep freezer","n",1
"hiss","v",4
"figure eight","n",3
"delayer","n",1
"wooly blue curls","n",1
"avuncular","a",2
"colloidal solution","n",1
"table rapping","n",1
"trophobiosis","n",1
"tobago","n",1
"protestant","s",1
"transcend","v",2
"nodular","s",1
"pedagogy","n",3
"smatter","v",3
"overturn","v",6
"give it a try","v",2
"articular","a",1
"appetent","s",1
"school day","n",2
"decent","a",1
"heave","n",6
"straightness","n",5
"enquiry","n",3
"pharyngeal","a",1
"dry cell","n",1
"terrorization","n",2
"euxine sea","n",1
"capture","n",5
"armored sea robin","n",1
"corruptness","n",2
"hundred-and-twenty-fifth","s",1
"cur","n",2
"linoleum knife","n",1
"lemon","n",5
"woodsiness","n",1
"capital of qatar","n",1
"sciurus niger","n",1
"thomas bayes","n",1
"cabalist","n",3
"developer","n",2
"surd","n",1
"guardroom","n",2
"genus ricinus","n",1
"horse-trail","n",1
"cheiranthus allionii","n",1
"rough","v",1
"iva xanthifolia","n",1
"palma christi","n",1
"phasianid","n",1
"penal facility","n",1
"subfamily sterninae","n",1
"balancer","n",2
"no-hit game","n",1
"shipwreck","v",4
"barbellate","s",1
"nervily","r",1
"goodby","n",1
"double rhyme","n",1
"prostrate","v",3
"confine","v",5
"thick","s",8
"martial art","n",1
"craftily","r",1
"atomic number 69","n",1
"mark clark","n",1
"economic mobilisation","n",1
"viniculture","n",1
"oceanography","n",1
"delegation","n",2
"resentment","n",1
"ganymede","n",2
"finishing touch","n",1
"corot","n",1
"laurence olivier","n",1
"crangon","n",1
"hen","n",4
"sweet unicorn plant","n",1
"motor nerve fiber","n",1
"horsehide","n",1
"black mustard","n",1
"thecodont reptile","n",1
"scorch","n",3
"diego rivera","n",1
"bluish-lilac","s",1
"wordmonger","n",1
"optez","n",1
"pitt","n",3
"baton","n",5
"asparagus pea","n",1
"silent picture","n",1
"bet","n",2
"ploughland","n",1
"satureja douglasii","n",1
"singing voice","n",1
"pagination","n",1
"fugal","a",1
"egtk","n",1
"monkey bread","n",1
"augustin jean fresnel","n",1
"greaser","n",1
"episodic memory","n",1
"grappelli","n",1
"class warfare","n",1
"chemical weapon","n",1
"figuration","n",2
"calculus of variations","n",1
"lapidator","n",1
"serious","s",4
"have a good time","v",1
"baptize","v",1
"lynx-eyed","s",1
"defenselessly","r",1
"as","r",1
"cruelly","r",2
"contender","n",1
"bareness","n",3
"oven broil","v",1
"vocal","s",2
"exile","v",1
"perceptually","r",1
"silkworm","n",2
"locking pliers","n",1
"lady killer","n",1
"solanum elaeagnifolium","n",1
"aqua","n",1
"remount","n",1
"water back","n",1
"tantalite","n",1
"vaccination","n",2
"nuclear family","n",1
"spider","n",3
"genus manglietia","n",1
"tortilla","n",1
"dolce","r",1
"vermifuge","n",1
"acronymous","a",1
"potato tuberworm","n",1
"boselaphus tragocamelus","n",1
"persistency","n",1
"mustard greens","n",1
"historian","n",1
"gun barrel","n",1
"wheeziness","n",1
"star apple","n",1
"pig","v",3
"apoplexy","n",1
"forward","s",2
"rediffusion","n",1
"genus culex","n",1
"coxsackie virus","n",1
"noncollapsable","a",1
"banking game","n",1
"genus cacajao","n",1
"scpo","n",1
"acrylonitrile-butadiene-styrene","n",1
"weeper","n",2
"yule log","n",1
"ostiarius","n",1
"wormlike","s",1
"antigen","n",1
"concepcion","n",1
"tail-flower","n",1
"seamster","n",1
"turreae","n",1
"cringle","n",1
"oral roberts","n",1
"edward teach","n",1
"sphalerite","n",1
"catkinate","a",1
"fair catch","n",1
"fiberoptic","a",1
"annual","a",1
"forceless","a",1
"challenging","s",3
"infinitely","r",2
"laser-guided bomb","n",1
"second class","r",1
"24-hour interval","n",1
"gobble","v",2
"assuagement","n",1
"dateless","s",4
"thud","n",1
"half blood","n",1
"salix herbacea","n",1
"halley","n",1
"sparkle metal","n",1
"ship's chandler","n",1
"customer agent","n",1
"middle buster","n",1
"convict","n",2
"caseful","n",1
"seychelles","n",2
"small hours","n",1
"bruin","n",2
"popping","n",1
"caulophyllum thalictroides","n",1
"colpitis","n",1
"eugene","n",2
"sweat duct","n",1
"inclined plane","n",1
"genus grison","n",1
"brucella","n",1
"post-office box number","n",1
"effecter","n",1
"mustard plaster","n",1
"united states intelligence agency","n",1
"flay","v",1
"aviation","n",4
"documentary","s",1
"atlantic tripletail","n",1
"lunation","n",1
"beria","n",1
"polyphonic music","n",1
"madder","v",1
"group dynamics","n",1
"vicia","n",1
"herpetology","n",1
"cowrie","n",1
"sinker","n",3
"meiotic","a",1
"russulaceae","n",1
"general franco","n",1
"knightliness","n",1
"molucca balm","n",1
"revision","n",3
"unconsciously","r",1
"point man","n",2
"ungoverned","s",2
"rotatory joint","n",1
"beg","v",4
"revenge","v",1
"ceremonial","s",1
"electronic mail","n",1
"trail","v",5
"presume","v",4
"filthily","r",1
"bullshit","v",1
"uncrossed","a",2
"meteorologically","r",1
"screening","n",4
"micronutrient","n",1
"bus topology","n",1
"johns","n",1
"hypnopedia","n",1
"closed circuit","n",1
"agropyron repens","n",1
"continental divide","n",1
"tuning","n",1
"split-pea soup","n",1
"sulfonylurea","n",1
"sclaff","v",2
"isurus glaucus","n",1
"ethics","n",2
"flytrap","n",1
"tartu","n",1
"regression equation","n",1
"centrifugal force","n",1
"senile psychosis","n",1
"blessedness","n",1
"labyrinthine vein","n",1
"diarrhetic","s",1
"half gainer","n",1
"bawdry","n",1
"synchronism","n",1
"unprocurable","s",1
"dickey","s",1
"tamper","v",2
"greyish brown","n",1
"truss","v",3
"undependable","s",1
"in vitro","r",1
"inviolable","s",3
"syntactic","a",1
"angelo guiseppe roncalli","n",1
"allocable","s",1
"paint the lily","v",2
"humidness","n",1
"figure skate","n",1
"dipteryx","n",1
"digestibleness","n",1
"la","n",3
"juglans californica","n",1
"brio","n",1
"fsb","n",2
"unarmed","a",2
"rust","s",1
"racquetball","n",2
"manicure","v",2
"dug","n",1
"icon","n",3
"saxatile","a",1
"muscovite","n",2
"chaucer","n",1
"grapeshot","n",1
"genus podilymbus","n",1
"ornithologist","n",1
"safety lamp","n",1
"truth serum","n",1
"family cheloniidae","n",1
"symbology","n",1
"exaltation","n",4
"milliliter","n",1
"info","n",1
"crack cocaine","n",1
"sunken arch","n",1
"wood thrush","n",1
"ex","n",3
"unpalatableness","n",2
"animate","a",3
"fool around","v",2
"dwelling house","n",1
"amatory","s",1
"therefrom","r",2
"bligh","n",1
"arame","n",1
"wadi","n",1
"infrared ray","n",1
"alice walker","n",1
"straddle","n",4
"genus thylogale","n",1
"falco tinnunculus","n",1
"carbonate","n",1
"cardamom","n",2
"paul john flory","n",1
"tuileries gardens","n",1
"thomas tallis","n",1
"feast of sacrifice","n",1
"golden thistle","n",1
"madrigal","n",1
"faultlessness","n",1
"cadra","n",1
"pagellus","n",1
"course catalog","n",1
"turdus merula","n",1
"carcharhinus","n",1
"golden spleen","n",1
"sir james george frazer","n",1
"sprinter","n",1
"beholding","n",1
"resonator","n",3
"osmerus mordax","n",1
"heart line","n",1
"cheops","n",1
"catalatic","a",1
"myrica pensylvanica","n",1
"hateful","a",1
"ask for trouble","v",1
"mephistophelian","s",1
"accelerator","n",4
"in passing","r",1
"bear upon","v",1
"stupefy","v",3
"directional","a",2
"electric chair","n",1
"schematise","v",1
"afraid","a",1
"allied","a",2
"goose egg","n",1
"fragile","s",3
"rosa moschata","n",1
"weekender","n",2
"miter box","n",1
"coptic church","n",1
"large-cap","a",1
"kalmia","n",1
"choo-choo","n",1
"anosmatic","a",1
"rocky mountain dogbane","n",1
"disa","n",2
"erythematous","a",1
"counterplot","n",1
"animal","n",1
"savoyard","n",2
"atelier","n",1
"defense technical information center","n",1
"flamboyant tree","n",1
"chinning bar","n",1
"dragon lizard","n",1
"vespasian","n",1
"arbitration","n",2
"operatic","a",1
"talipes","n",1
"wild mustard","n",1
"sawm","n",1
"curtsy","v",2
"pitiless","s",2
"freedom to bear arms","n",1
"george armstrong custer","n",1
"married man","n",1
"hindustani","n",2
"dryer","n",1
"reformism","n",1
"eryngium","n",1
"swirl","v",2
"far-fetched","s",2
"thyroidal","a",1
"bake","v",4
"stylistically","r",1
"home-cured","s",1
"allure","v",1
"chock-a-block","r",1
"gaius julius caesar octavianus","n",1
"atomic number 50","n",1
"gastric acid","n",1
"eyes-only","s",1
"platoon","n",3
"early purple orchid","n",1
"himmler","n",1
"drawing table","n",1
"sea tangle","n",1
"double bogey","v",1
"psychotic","n",1
"viz.","r",1
"tabuk","n",1
"internal medicine","n",1
"millime","n",1
"solidago nemoralis","n",1
"cedar tree","n",2
"run-up","n",2
"ulvales","n",1
"center line","n",1
"love apple","n",1
"scirpus cyperinus","n",1
"ventral root","n",1
"caoutchouc","n",1
"vanquishable","s",1
"gallinago gallinago","n",1
"st. cyril","n",1
"factor ix","n",1
"tap","n",8
"kimono","n",1
"sceloglaux","n",1
"insolvency","n",1
"loofa","n",1
"wag","n",2
"adrianopolis","n",1
"ruefully","r",1
"beastly","r",1
"needy","n",1
"vower","n",1
"fastidious","a",2
"th","n",2
"hypersensitivity reaction","n",1
"endurance riding","n",1
"niebuhr","n",2
"outer planet","n",1
"lebistes reticulatus","n",1
"st. gregory i","n",1
"conspecific","n",1
"first visual area","n",1
"sport jacket","n",1
"wallis warfield simpson","n",1
"proof","n",6
"church roll","n",1
"grammatical rule","n",1
"burglarize","v",1
"circumflex iliac vein","n",1
"shoot-down","n",1
"boccaccio","n",1
"raf","n",2
"lecanora","n",1
"jambalaya","n",1
"gut","n",3
"headfish","n",1
"doggerel verse","n",1
"usher","v",1
"sharia law","n",1
"oak tree","n",1
"whole works","n",1
"compartmentalize","v",1
"touching","n",2
"good authority","n",1
"wrinkle","v",4
"unmarried","a",1
"null","n",1
"fish","v",2
"derived","a",1
"maidenly","s",1
"violet","n",2
"marcher","n",3
"family epacridaceae","n",1
"pillwort","n",1
"pleuronectes platessa","n",1
"thomas merton","n",1
"cerise","s",1
"demoniac","a",1
"activating","n",1
"severn river","n",2
"deerhound","n",1
"badger skunk","n",1
"hound's-tongue","n",2
"sidereal hour","n",1
"price control","n",1
"elating","s",1
"extracapsular surgery","n",1
"mailing-card","n",1
"fortunetelling","n",1
"gateau","n",1
"daniel chester french","n",1
"chicken cacciatora","n",1
"people","v",2
"deciduous","s",1
"mystical","a",2
"appal","v",2
"koranic","a",1
"bolshevik","a",1
"disbandment","n",1
"ungentle","s",1
"established","a",1
"finishing","n",2
"flounder","v",2
"sales booth","n",1
"strappado","n",1
"family zygophyllaceae","n",1
"north-west","r",1
"interlocutor","n",2
"diplopterygium","n",1
"sir alexander fleming","n",1
"crab","n",7
"obtuse triangle","n",1
"bell toad","n",1
"cataphract","n",1
"asthenopia","n",1
"fibrous astrocyte","n",1
"slipstick","n",1
"etherealize","v",1
"genus caltha","n",1
"sclerotiniaceae","n",1
"characterisic function","n",1
"weirdie","n",1
"escallop","n",3
"boasting","n",1
"paul cezanne","n",1
"brown bear","n",1
"damson","n",1
"electrical switch","n",1
"mithras","n",1
"family parmeliaceae","n",1
"insidiousness","n",2
"solace","v",1
"aplysiidae","n",1
"atomic number 17","n",1
"luigi pirandello","n",1
"across-the-board","s",1
"sulfurized","a",1
"chalk out","v",1
"saccharify","v",2
"uncollected","a",1
"dominant","s",1
"de jure","r",1
"free fall","n",2
"silt up","v",1
"well-marked","s",1
"dispiritedly","r",1
"unsafe","a",2
"trombiculidae","n",1
"genus ancistrodon","n",1
"wine steward","n",1
"vulgarism","n",2
"epimedium grandiflorum","n",1
"ethical motive","n",1
"missal","n",1
"sphecius speciosis","n",1
"wall tent","n",1
"sinter","v",1
"order erysiphales","n",1
"twist drill","n",1
"cespitose","s",1
"candy","v",1
"jacobs","n",3
"d'oyly carte","n",1
"water boatman","n",1
"isohel","n",1
"white lung","n",1
"paolo veronese","n",1
"federal","s",2
"home base","n",2
"gastronomic","a",1
"amply","r",2
"sabbatical","a",2
"productively","r",1
"amberboa moschata","n",1
"black market","v",1
"cox","n",2
"order diapensiales","n",1
"flux unit","n",1
"fleabag","n",1
"aeciospore","n",1
"gene kelly","n",1
"prelude","v",2
"doolittle","n",1
"brill","n",1
"sangapenum","n",1
"homeothermic","s",1
"giving up","n",2
"bugginess","n",1
"genus brassavola","n",1
"time bomb","n",2
"glioblastoma","n",1
"hallel","n",1
"irish potato","n",1
"khartoum","n",1
"volt","n",1
"tensiometer","n",3
"sir jack hobbs","n",1
"opulence","n",1
"driver's licence","n",1
"maxillary vein","n",1
"genus clostridium","n",1
"scroll saw","n",1
"brier-wood","n",1
"galliano","n",1
"burn","n",5
"hedging","n",2
"fine-toothed","s",1
"gag","n",2
"message","v",3
"vacant","s",2
"norse","a",2
"shut up","v",3
"repressed","s",1
"disadvantageous","a",1
"kappa-meson","n",1
"antitrust case","n",1
"lopholatilus","n",1
"tho","n",1
"emollient","n",1
"whisperer","n",1
"ray","n",7
"philippine sea","n",1
"subcontinent","n",1
"ursus horribilis","n",1
"free house","n",1
"golden fig","n",1
"unaffecting","s",1
"japanese monetary unit","n",1
"field maple","n",1
"improvable","s",1
"risk","n",4
"90","n",1
"maja squinado","n",1
"laudably","r",1
"hound","n",2
"paranasal","a",1
"outboard","a",1
"prohibitive","s",1
"telescope","v",2
"sit by","v",1
"show off","v",1
"cyprinodontidae","n",1
"staleness","n",2
"spiritlessness","n",1
"moneybag","n",1
