"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"peyote",103714159,,"noun.artifact",6,"n","mescaline#1(mescaline%1:06:00::),peyote#2(peyote%1:06:00::)","the hallucinatory alkaloid that is the active agent in mescal buttons","","mescaline,peyote",2,15,"substance holonym",111784642,"noun.plant",20,"n","mescal button#1(mescal_button%1:20:00::),sacred mushroom#1(sacred_mushroom%1:20:00::),magic mushroom#1(magic_mushroom%1:20:00::)","the button-shaped top of the mescal cactus; a source of psilocybin","","mescal button,sacred mushroom,magic mushroom"
"adenine",114643406,,"noun.substance",27,"n","adenine#1(adenine%1:27:00::),A#4(a%1:27:02::)","(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA","","adenine,A",1,15,"substance holonym",114760578,"noun.substance",27,"n","desoxyribonucleic acid#1(desoxyribonucleic_acid%1:27:00::),DNA#1(dna%1:27:00::),deoxyribonucleic acid#1(deoxyribonucleic_acid%1:27:00::)","(biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information","DNA is the king of molecules","desoxyribonucleic acid,DNA,deoxyribonucleic acid"
"adenine",114643406,,"noun.substance",27,"n","adenine#1(adenine%1:27:00::),A#4(a%1:27:02::)","(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA","","adenine,A",1,15,"substance holonym",114762407,"noun.substance",27,"n","RNA#1(rna%1:27:00::),ribonucleic acid#1(ribonucleic_acid%1:27:00::)","(biochemistry) a long linear polymer of nucleotides found in the nucleus but mainly in the cytoplasm of a cell where it is associated with microsomes; it transmits genetic information from DNA to the cytoplasm and controls certain chemical processes in the cell","ribonucleic acid is the genetic material of some viruses","RNA,ribonucleic acid"
"muscadelle",107832352,,"noun.food",13,"n","muscadel#1(muscadel%1:13:02::),muscatel#1(muscatel%1:13:02::),muscadelle#1(muscadelle%1:13:02::),muscat#3(muscat%1:13:02::)","wine from muscat grapes","","muscadel,muscatel,muscadelle,muscat",1,15,"substance holonym",107690776,"noun.food",13,"n","muscat grape#1(muscat_grape%1:13:00::),muscatel#2(muscatel%1:13:01::),muscat#4(muscat%1:13:01::)","sweet aromatic grape used for raisins and wine","","muscat grape,muscatel,muscat"
"prawn",107724782,,"noun.food",13,"n","prawn#1(prawn%1:13:00::),shrimp#2(shrimp%1:13:00::)","any of various edible decapod crustaceans","","prawn,shrimp",1,15,"substance holonym",107512364,"noun.food",13,"n","shrimp cocktail#1(shrimp_cocktail%1:13:00::)","a cocktail of cold cooked shrimp and a sauce","","shrimp cocktail"
"grain alcohol",114645593,,"noun.substance",27,"n","fermentation alcohol#1(fermentation_alcohol%1:27:00::),grain alcohol#1(grain_alcohol%1:27:00::),ethyl alcohol#1(ethyl_alcohol%1:27:00::),ethanol#1(ethanol%1:27:00::)","the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline","","fermentation alcohol,grain alcohol,ethyl alcohol,ethanol",1,15,"substance holonym",107833016,"noun.food",13,"n","neutral spirits#1(neutral_spirits%1:13:00::),ethyl alcohol#2(ethyl_alcohol%1:13:00::)","nonflavored alcohol of 95 percent or 190 proof used for blending with straight whiskies and in making gin and liqueurs","","neutral spirits,ethyl alcohol"
"agar",114828922,,"noun.substance",27,"n","agar-agar#1(agar-agar%1:27:00::),agar#2(agar%1:27:00::)","a colloidal extract of algae; used especially in culture media and as a gelling agent in foods","","agar-agar,agar",2,15,"substance holonym",114829098,"noun.substance",27,"n","nutrient agar#1(nutrient_agar%1:27:00::),agar#1(agar%1:27:02::)","any culture medium that uses agar as the gelling agent","","nutrient agar,agar"
"ra",114588583,,"noun.substance",27,"n","atomic number 88#1(atomic_number_88%1:27:00::),radium#1(radium%1:27:00::),Ra#1(ra%1:27:00::)","an intensely radioactive metallic element that occurs in minute amounts in uranium ores","","atomic number 88,radium,Ra",1,15,"substance holonym",115009938,"noun.substance",27,"n","uranium ore#1(uranium_ore%1:27:00::)","any ore from which uranium can be extracted","","uranium ore"
"brucine",114651219,,"noun.substance",27,"n","brucine#1(brucine%1:27:00::)","a bitter alkaloid poison resembling strychnine and extracted from nux vomica","","brucine",1,15,"substance holonym",103790432,"noun.artifact",6,"n","nux vomica#1(nux_vomica%1:06:00::)","a medicine made from the seeds of an Asiatic tree; contains strychnine and brucine; formerly used as a stimulant","","nux vomica"
"aniseed",107757276,,"noun.food",13,"n","anise seed#1(anise_seed%1:13:00::),aniseed#1(aniseed%1:13:00::),anise#2(anise%1:13:00::)","liquorice-flavored seeds, used medicinally and in cooking and liquors","","anise seed,aniseed,anise",1,15,"substance holonym",107835829,"noun.food",13,"n","ouzo#1(ouzo%1:13:00::)","a Greek liquor flavored with anise","","ouzo"
"red pepper",107652444,,"noun.food",13,"n","red pepper#2(red_pepper%1:13:02::),tabasco#3(tabasco%1:13:02::)","very hot red peppers; usually long and thin; some very small","","red pepper,tabasco",2,15,"substance holonym",107756714,"noun.food",13,"n","Tabasco sauce#1(tabasco_sauce%1:13:00::),Tabasco#2(tabasco%1:13:01::)","very spicy sauce (trade name Tabasco) made from fully-aged red peppers","","Tabasco sauce,Tabasco"
"aluminium hydroxide",114754452,,"noun.substance",27,"n","aluminium hydroxide#1(aluminium_hydroxide%1:27:00::),hydrated aluminum oxide#1(hydrated_aluminum_oxide%1:27:00::),hydrated aluminium oxide#1(hydrated_aluminium_oxide%1:27:00::),aluminum hydroxide#1(aluminum_hydroxide%1:27:00::)","white crystalline compound that occurs naturally as the mineral gibbsite","","aluminium hydroxide,hydrated aluminum oxide,hydrated aluminium oxide,aluminum hydroxide",1,15,"substance holonym",114613568,"noun.substance",27,"n","gibbsite#1(gibbsite%1:27:00::)","white crystalline mineral consisting of aluminum hydroxide; a constituent of bauxite and a source of alumina","","gibbsite"
"cu",114572383,,"noun.substance",27,"n","atomic number 29#1(atomic_number_29%1:27:00::),copper#1(copper%1:27:00::),Cu#1(cu%1:27:00::)","a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor","","atomic number 29,copper,Cu",1,15,"substance holonym",114607125,"noun.substance",27,"n","copper pyrites#1(copper_pyrites%1:27:00::),chalcopyrite#1(chalcopyrite%1:27:00::)","a yellow copper ore (CuFeS2) made up of copper and iron sulfide","","copper pyrites,chalcopyrite"
"pavement",103852428,2,"noun.artifact",6,"n","pavement#1(pavement%1:06:00::),paving#2(paving%1:06:00::)","the paved surface of a thoroughfare","","pavement,paving",1,15,"substance holonym",104275844,"noun.artifact",6,"n","street#1(street%1:06:00::)","a thoroughfare (usually including sidewalks) that is lined with buildings","they walked the streets of the small town|he lives on Nassau Street","street"
"pavement",103852428,2,"noun.artifact",6,"n","pavement#1(pavement%1:06:00::),paving#2(paving%1:06:00::)","the paved surface of a thoroughfare","","pavement,paving",1,15,"substance holonym",104157887,"noun.artifact",6,"n","sidewalk#1(sidewalk%1:06:00::),pavement#3(pavement%1:06:01::)","walk consisting of a paved area for pedestrians; usually beside a street or roadway","","sidewalk,pavement"
"arsenic",114565810,,"noun.substance",27,"n","As#1(as%1:27:00::),atomic number 33#1(atomic_number_33%1:27:00::),arsenic#2(arsenic%1:27:00::)","a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar","","As,atomic number 33,arsenic",2,15,"substance holonym",114631535,"noun.substance",27,"n","realgar#1(realgar%1:27:00::)","a rare soft orange mineral consisting of arsenic sulphide; an important ore of arsenic","","realgar"
